Find the boost-plus-rotation that equates to 2 perpendicular boosts.

Event:[10.0, 1.0, 1.0, 1.0]
Corner-boost transform: boost [0.97,0.0,0.0] boost [0.0,0.95,0.0]
 Event after corner-boost: [115.91503, -35.78702, -109.80703, 1.0]

Boost+rotation transform: boost [0.97,0.23095,0.0] rotation[0.0,0.0,-1.02842]
 Event after boost+rotation: [115.91503, -35.78702, -109.80703, 1.0]

Order matters. Rotation+boost isn't the same. The operations don't commute.
But there is apparently a DIFFERENT rotation+boost that is indeed the same (not implemented here).
Rotation+boost transform: rotation[0.0,0.0,-1.02842] boost [0.97,0.23095,0.0]
 Event from rotation+boost: [131.90826, -128.27952, -29.0887, 1.0]

β                    β                    Equivalent           Equivalent    θw      (v = vx + vy)         (v = vy + vx)     
X-axis               Y-axis               β                    direction                                                     
-----------------------------------------------------------------------------------------------------------------------------
0.6                  0.1                  0.6053098380168623     7.595°    -1.915°   [0.6,0.08,0.0]        [0.59699,0.1,0.0]     
0.6                  0.2                  0.6209669878504009    14.931°    -3.857°   [0.6,0.16,0.0]        [0.58788,0.2,0.0]     
0.6                  0.3                  0.6462197768561405    21.801°    -5.860°   [0.6,0.24,0.0]        [0.57236,0.3,0.0]     
0.6                  0.4                  0.6799999999999999    28.073°    -7.959°   [0.6,0.32,0.0]        [0.54991,0.4,0.0]     
0.6                  0.5                  0.7211102550927979    33.690°   -10.208°   [0.6,0.4,0.0]         [0.51962,0.5,0.0]     
0.6                  0.6                  0.7683749084919419    38.660°   -12.680°   [0.6,0.48,0.0]        [0.48,0.6,0.0]        
0.6                  0.7                  0.8207313811473276    43.025°   -15.503°   [0.6,0.56,0.0]        [0.42849,0.7,0.0]     
0.6                  0.8                  0.8772684879784524    46.848°   -18.925°   [0.6,0.64,0.0]        [0.36,0.8,0.0]        
0.6                  0.9                  0.9372299611087985    50.194°   -23.602°   [0.6,0.72,0.0]        [0.26153,0.9,0.0]     
0.6                  0.95                 0.9682974749528164    51.710°   -27.134°   [0.6,0.76,0.0]        [0.18735,0.95,0.0]    
0.6                  0.96                 0.9745891442038539    52.001°   -28.073°   [0.6,0.768,0.0]       [0.168,0.96,0.0]      
0.6                  0.97                 0.9809057039287721    52.289°   -29.159°   [0.6,0.776,0.0]       [0.14586,0.97,0.0]    
0.6                  0.98                 0.9872466763681710    52.573°   -30.481°   [0.6,0.784,0.0]       [0.1194,0.98,0.0]     
0.6                  0.99                 0.9936115941352537    52.853°   -32.260°   [0.6,0.792,0.0]       [0.08464,0.99,0.0]    
0.6                  0.999                0.9993601152737687    53.103°   -35.359°   [0.6,0.7992,0.0]      [0.02683,0.999,0.0]   
0.6                  0.9999               0.9999360011520738    53.127°   -36.387°   [0.6,0.79992,0.0]     [0.00849,0.9999,0.0]  
0.6                  0.9999999895816072   0.9999999933322287    53.130°   -36.865°   [0.6,0.8,0.0]         [9.0E-5,1.0,0.0]      
0.7                  0.1                  0.7036334272900912     5.825°    -2.345°   [0.7,0.07141,0.0]     [0.69649,0.1,0.0]     
0.7                  0.2                  0.7144228439796700    11.532°    -4.725°   [0.7,0.14283,0.0]     [0.68586,0.2,0.0]     
0.7                  0.3                  0.7320519107276477    17.017°    -7.175°   [0.7,0.21424,0.0]     [0.66776,0.3,0.0]     
0.7                  0.4                  0.7560423268574318    22.200°    -9.743°   [0.7,0.28566,0.0]     [0.64156,0.4,0.0]     
0.7                  0.5                  0.7858116822750855    27.026°   -12.489°   [0.7,0.35707,0.0]     [0.60622,0.5,0.0]     
0.7                  0.6                  0.8207313811473275    31.472°   -15.503°   [0.7,0.42849,0.0]     [0.56,0.6,0.0]        
0.7                  0.7                  0.8601744009211155    35.532°   -18.936°   [0.7,0.4999,0.0]      [0.4999,0.7,0.0]      
0.7                  0.8                  0.9035485598461213    39.220°   -23.081°   [0.7,0.57131,0.0]     [0.42,0.8,0.0]        
0.7                  0.9                  0.9503157370053388    42.558°   -28.714°   [0.7,0.64273,0.0]     [0.30512,0.9,0.0]     
0.7                  0.95                 0.9748204962966257    44.104°   -32.939°   [0.7,0.67844,0.0]     [0.21857,0.95,0.0]    
0.7                  0.96                 0.9798040620450601    44.404°   -34.057°   [0.7,0.68558,0.0]     [0.196,0.96,0.0]      
0.7                  0.97                 0.9848141956734782    44.700°   -35.349°   [0.7,0.69272,0.0]     [0.17017,0.97,0.0]    
0.7                  0.98                 0.9898504937615579    44.994°   -36.916°   [0.7,0.69986,0.0]     [0.1393,0.98,0.0]     
0.7                  0.99                 0.9949125589718927    45.285°   -39.019°   [0.7,0.707,0.0]       [0.09875,0.99,0.0]    
0.7                  0.999                0.9994901250137491    45.544°   -42.661°   [0.7,0.71343,0.0]     [0.0313,0.999,0.0]    
0.7                  0.9999               0.9999490012495637    45.570°   -43.863°   [0.7,0.71407,0.0]     [0.0099,0.9999,0.0]   
0.7                  0.9999999895816072   0.9999999946866196    45.573°   -44.421°   [0.7,0.71414,0.0]     [1.0E-4,1.0,0.0]      
0.8                  0.1                  0.8022468448052633     4.289°    -2.871°   [0.8,0.06,0.0]        [0.79599,0.1,0.0]     
0.8                  0.2                  0.8089499366462675     8.531°    -5.783°   [0.8,0.12,0.0]        [0.78384,0.2,0.0]     
0.8                  0.3                  0.8200000000000001    12.680°    -8.780°   [0.8,0.18,0.0]        [0.76315,0.3,0.0]     
0.8                  0.4                  0.8352245207128440    16.699°   -11.915°   [0.8,0.24,0.0]        [0.73321,0.4,0.0]     
0.8                  0.5                  0.8544003745317532    20.556°   -15.262°   [0.8,0.3,0.0]         [0.69282,0.5,0.0]     
0.8                  0.6                  0.8772684879784524    24.228°   -18.925°   [0.8,0.36,0.0]        [0.64,0.6,0.0]        
0.8                  0.7                  0.9035485598461214    27.700°   -23.081°   [0.8,0.42,0.0]        [0.57131,0.7,0.0]     
0.8                  0.8                  0.9329523031752482    30.964°   -28.073°   [0.8,0.48,0.0]        [0.48,0.8,0.0]        
0.8                  0.9                  0.9651942809610923    34.019°   -34.801°   [0.8,0.54,0.0]        [0.34871,0.9,0.0]     
0.8                  0.95                 0.9822932352408825    35.470°   -39.798°   [0.8,0.57,0.0]        [0.2498,0.95,0.0]     
0.8                  0.96                 0.9857869952479592    35.754°   -41.112°   [0.8,0.576,0.0]       [0.224,0.96,0.0]      
0.8                  0.97                 0.9893048064171123    36.036°   -42.627°   [0.8,0.582,0.0]       [0.19448,0.97,0.0]    
0.8                  0.98                 0.9928464130972121    36.316°   -44.457°   [0.8,0.588,0.0]       [0.1592,0.98,0.0]     
0.8                  0.99                 0.9964115615547625    36.594°   -46.903°   [0.8,0.594,0.0]       [0.11285,0.99,0.0]    
0.8                  0.999                0.9996401152414803    36.842°   -51.107°   [0.8,0.5994,0.0]      [0.03577,0.999,0.0]   
0.8                  0.9999               0.9999640011520414    36.867°   -52.485°   [0.8,0.59994,0.0]     [0.01131,0.9999,0.0]  
0.8                  0.9999999895816072   0.9999999962493787    36.870°   -53.124°   [0.8,0.6,0.0]         [1.2E-4,1.0,0.0]      
0.9                  0.1                  0.9010549372818509     2.773°    -3.599°   [0.9,0.04359,0.0]     [0.89549,0.1,0.0]     
0.9                  0.2                  0.9042123644365853     5.533°    -7.246°   [0.9,0.08718,0.0]     [0.88182,0.2,0.0]     
0.9                  0.3                  0.9094503834734471     8.267°   -10.994°   [0.9,0.13077,0.0]     [0.85855,0.3,0.0]     
