Find the boost-plus-rotation that equates to 2 perpendicular boosts.

Event:[10.0, 1.0, 1.0, 1.0]
Corner-boost transform: boost[X,0.97] boost[Y,0.95]
 Event after corner-boost: [115.91503, -35.78702, -109.80703, 1.0]

Boost+rotation transform: rotation[0.0,0.0,0.23374] boost[X,0.99711] rotation[0.0,0.0,-1.02842] rotation[0.0,0.0,-0.23374]
 Event after boost+rotation: [115.91503, -35.78702, -109.80703, 1.0]
Note the presence here of a 'housekeeping' rotation at the start/end. That's an artifact of this code always using an axis.

Order matters. Rotation+boost isn't the same. The operations don't commute.
But there is apparently a DIFFERENT rotation+boost that is indeed the same (not implemented here).
Rotation+boost transform: rotation[0.0,0.0,0.23374] rotation[0.0,0.0,-1.02842] boost[X,0.99711] rotation[0.0,0.0,-0.23374]
 Event from rotation+boost: [131.90826, -128.27952, -29.0887, 1.0]

βx                   βy                   equivβ               equivDirection    θw
0.8                  0.9999999895816072   0.9999999962493786       36.870°   -53.124°
0.9                  0.1                  0.9010549372818508        2.773°    -3.599°
0.9                  0.2                  0.9042123644365853        5.533°    -7.246°
0.9                  0.3                  0.9094503834734471        8.267°   -10.994°
0.9                  0.4                  0.9167333309092672       10.964°   -14.906°
0.9                  0.5                  0.9260129588726068       13.613°   -19.067°
0.9                  0.6                  0.9372299611087985       16.204°   -23.602°
0.9                  0.7                  0.9503157370053387       18.728°   -28.714°
0.9                  0.8                  0.9651942809610924       21.179°   -34.801°
0.9                  0.9                  0.9817840903172143       23.552°   -42.896°
0.9                  0.95                 0.9906942010529788       24.707°   -48.814°
0.9                  0.96                 0.9925240551241062       24.936°   -50.356°
0.9                  0.97                 0.9943696495770574       25.164°   -52.125°
0.9                  0.98                 0.9962308969310277       25.391°   -54.253°
0.9                  0.99                 0.9981077096185561       25.617°   -57.075°
0.9                  0.999                0.9998100769646203       25.820°   -61.874°
0.9                  0.9999               0.9999810007695147       25.840°   -63.431°
0.9                  0.9999999895816072   0.9999999980205053       25.842°   -64.151°
0.95                 0.1                  0.9505130193742745        1.883°    -4.157°
0.95                 0.2                  0.9520504188329524        3.761°    -8.366°
0.95                 0.3                  0.9546072490820505        5.632°   -12.685°
0.95                 0.4                  0.9581753492967766        7.490°   -17.184°
0.95                 0.5                  0.9627434756984853        9.333°   -21.956°
0.95                 0.6                  0.9682974749528164       11.156°   -27.134°
0.95                 0.7                  0.9748204962966259       12.957°   -32.939°
0.95                 0.8                  0.9822932352408826       14.732°   -39.798°
0.95                 0.9                  0.9906942010529788       16.479°   -48.814°
0.95                 0.95                 0.9952355248884557       17.341°   -55.318°
0.95                 0.96                 0.9961706681086329       17.512°   -57.000°
0.95                 0.97                 0.9971147125581891       17.684°   -58.924°
0.95                 0.98                 0.9980676329788478       17.854°   -61.227°
0.95                 0.99                 0.999029403971675        18.025°   -64.266°
0.95                 0.999                0.9999025440011642       18.178°   -69.388°
0.95                 0.9999               0.999990250439973        18.193°   -71.037°
0.95                 0.9999999895816072   0.9999999989842067       18.195°   -71.797°
0.96                 0.1                  0.9604082465285271        1.671°    -4.306°
0.96                 0.2                  0.9616319462247498        3.339°    -8.666°
0.96                 0.3                  0.9636679926198649        5.001°   -13.138°
0.96                 0.4                  0.9665112518744932        6.654°   -17.793°
0.96                 0.5                  0.9701546268507923        8.297°   -22.726°
0.96                 0.6                  0.9745891442038538        9.926°   -28.073°
0.96                 0.7                  0.9798040620450601       11.539°   -34.057°
0.96                 0.8                  0.9857869952479592       13.134°   -41.112°
0.96                 0.9                  0.9925240551241062       14.708°   -50.356°
0.96                 0.95                 0.9961706681086329       15.487°   -57.000°
0.96                 0.96                 0.9969219829053826       15.642°   -58.716°
0.96                 0.97                 0.997680590169018        15.797°   -60.675°
0.96                 0.98                 0.998446473277361        15.952°   -63.018°
0.96                 0.99                 0.999219615500016        16.106°   -66.105°
0.96                 0.999                0.9999216361295519       16.245°   -71.295°
0.96                 0.9999               0.99999216036127         16.259°   -72.964°
0.96                 0.9999999895816072   0.9999999991831979       16.260°   -73.732°
0.97                 0.1                  0.9703045913526329        1.436°    -4.480°
0.97                 0.2                  0.9712177922587704        2.870°    -9.014°
0.97                 0.3                  0.9727378886421563        4.300°   -13.664°
0.97                 0.4                  0.9748620415217735        5.725°   -18.500°
0.97                 0.5                  0.9775863133248133        7.143°   -23.619°
0.97                 0.6                  0.9809057039287722        8.552°   -29.159°
0.97                 0.7                  0.9848141956734783        9.951°   -35.349°
0.97                 0.8                  0.9893048064171123       11.337°   -42.627°
0.97                 0.9                  0.9943696495770574       12.711°   -52.125°
0.97                 0.95                 0.9971147125581891       13.392°   -58.924°
0.97                 0.96                 0.997680590169018        13.528°   -60.675°
0.97                 0.97                 0.9982520673657531       13.664°   -62.672°
0.97                 0.98                 0.9988291345370338       13.799°   -65.058°
0.97                 0.99                 0.9994117819997921       13.935°   -68.196°
0.97                 0.999                0.9999409278052379       14.056°   -73.458°
0.97                 0.9999               0.9999940902780377       14.069°   -75.146°
0.97                 0.9999999895816072   0.999999999384273        14.070°   -75.922°
0.98                 0.1                  0.9802020199938377        1.163°    -4.692°
0.98                 0.2                  0.9808078303113205        2.326°    -9.440°
0.98                 0.3                  0.9818166835005402        3.486°   -14.306°
0.98                 0.4                  0.9832273389201502        4.644°   -19.362°
0.98                 0.5                  0.9850380703302791        5.797°   -24.706°
0.98                 0.6                  0.9872466763681709        6.946°   -30.481°
0.98                 0.7                  0.9898504937615579        8.090°   -36.916°
0.98                 0.8                  0.9928464130972121        9.227°   -44.457°
0.98                 0.9                  0.9962308969310277       10.357°   -54.253°
0.98                 0.95                 0.9980676329788478       10.919°   -61.227°
0.98                 0.96                 0.998446473277361        11.031°   -63.018°
0.98                 0.97                 0.9988291345370338       11.143°   -65.058°
0.98                 0.98                 0.9992156123680214       11.255°   -67.491°
0.98                 0.99                 0.9996059023435185       11.367°   -70.684°
0.98                 0.999                0.9999604190166729       11.467°   -76.022°
0.98                 0.9999               0.99999604019016         11.477°   -77.729°
0.98                 0.9999999895816072   0.9999999995874316       11.478°   -78.514°
0.99                 0.1                  0.9901004999493739        0.816°    -4.980°
0.99                 0.2                  0.990401938608765         1.632°   -10.018°
0.99                 0.3                  0.9909041325981035        2.448°   -15.175°
0.99                 0.4                  0.9916067769030221        3.262°   -20.528°
0.99                 0.5                  0.99250944579888          4.075°   -26.175°
0.99                 0.6                  0.9936115941352537        4.887°   -32.260°
0.99                 0.7                  0.9949125589718928        5.696°   -39.019°
0.99                 0.8                  0.9964115615547623        6.503°   -46.903°
0.99                 0.9                  0.9981077096185561        7.308°   -57.075°
0.99                 0.95                 0.999029403971675         7.709°   -64.266°
0.99                 0.96                 0.999219615500016         7.789°   -66.105°
0.99                 0.97                 0.9994117819997921        7.869°   -68.196°
0.99                 0.98                 0.9996059023435185        7.950°   -70.684°
0.99                 0.99                 0.9998019753931275        8.030°   -73.941°
0.99                 0.999                0.999980109752189         8.102°   -79.361°
0.99                 0.9999               0.9999980100975202        8.109°   -81.089°
0.99                 0.9999999895816072   0.999999999792674         8.110°   -81.882°
0.999                0.1                  0.9990100049549053        0.256°    -5.489°
