Kinematic (Wigner) rotation (θw) for various combined speeds.
Here, the pair of velocities are at always at right angles to each other.

β1                   β2                       θw°
0.999                0.99                   -79.36°
0.999                0.999                  -84.88°
0.999                0.9999                 -86.63°
0.999                0.9999999895816072     -87.43°
0.9999               0.1                     -5.66°
0.9999               0.2                    -11.38°
0.9999               0.3                    -17.22°
0.9999               0.4                    -23.26°
0.9999               0.5                    -29.60°
0.9999               0.6                    -36.39°
0.9999               0.7                    -43.86°
0.9999               0.8                    -52.48°
0.9999               0.9                    -63.43°
0.9999               0.95                   -71.04°
0.9999               0.96                   -72.96°
0.9999               0.97                   -75.15°
0.9999               0.98                   -77.73°
0.9999               0.99                   -81.09°
0.9999               0.999                  -86.63°
0.9999               0.9999                 -88.38°
0.9999               0.9999999895816072     -89.18°
0.9999999895816072   0.1                     -5.74°
0.9999999895816072   0.2                    -11.54°
0.9999999895816072   0.3                    -17.46°
0.9999999895816072   0.4                    -23.57°
0.9999999895816072   0.5                    -30.00°
0.9999999895816072   0.6                    -36.86°
0.9999999895816072   0.7                    -44.42°
0.9999999895816072   0.8                    -53.12°
0.9999999895816072   0.9                    -64.15°
0.9999999895816072   0.95                   -71.80°
0.9999999895816072   0.96                   -73.73°
0.9999999895816072   0.97                   -75.92°
0.9999999895816072   0.98                   -78.51°
0.9999999895816072   0.99                   -81.88°
0.9999999895816072   0.999                  -87.43°
0.9999999895816072   0.9999                 -89.18°
0.9999999895816072   0.9999999895816072     -89.98°
