Event:[10.0, 1.0, 1.0, 1.0, YES]
Dogleg transform: boost[X,0.97] boost[Y,0.95]
Dogleg:           [115.91503043007748, -35.78701803585312, -109.80702900865369, 1.0, YES]

Boost+rotation transform: rotate[Z,0.23374053585196874] boost[X,0.9971147125581891] rotate[Z,-1.028420353109959] rotate[Z,-0.23374053585196874]
Boost + rotation ev: [115.91503043007783, -35.78701803585324, -109.80702900865401, 1.0, YES]

Order matters. Rotation+boost isn't the same.
Rotation+boost transform: rotate[Z,0.23374053585196874] rotate[Z,-1.028420353109959] boost[X,0.9971147125581891] rotate[Z,-0.23374053585196874]
Rotation + boost ev: [131.90826026877232, -128.2795249003928, -29.088702591619267, 1.0, YES]

βx   βy   β-equiv            β-direction-degs  θw-degs
---------------------------------------------------------
0.4 0.8 0.835224520712844 61.38555832015956 -11.915197445846818
0.4 0.9 0.9167333309092672 64.12992466193027 -14.906047064466858
0.4 0.95 0.9581753492967766 65.32566197406824 -17.184411334802565
0.4 0.96 0.9665112518744932 65.55247682814384 -17.793098125849557
0.4 0.97 0.9748620415217735 65.7754092775645 -18.499847026414848
0.4 0.98 0.9832273389201502 65.9945515795684 -19.361880412949475
0.4 0.99 0.9916067769030221 66.20999332467204 -20.52785358642371
0.4 0.999 0.9991600672564932 66.4007988839954 -22.573603164601195
0.4 0.9999 0.9999160006720565 66.4197208473695 -23.256144425869927
0.4 0.9999999895816072 0.9999999912485501 66.42182130296004 -23.57487044957426
0.5 0.1 0.5074445782546111 9.82642981583228 -1.539000647481016
0.5 0.2 0.5291502622129185 19.106605350869092 -3.1010489477273935
0.5 0.3 0.5634713834792323 27.45707609593826 -4.711622163758075
0.5 0.4 0.6082762530298219 34.715003953948205 -6.401778961795664
0.5 0.5 0.6614378277661479 40.893394649130904 -8.21321070173819
0.5 0.6 0.7211102550927979 46.10211375198602 -10.2078187220342
0.5 0.7 0.7858116822750857 50.48466180164344 -12.489117545250613
0.5 0.8 0.8544003745317532 54.18247435555642 -15.261480424860121
0.5 0.9 0.9260129588726068 57.31981605260729 -19.067432588850195
0.5 0.95 0.9627434756984853 58.7113965152831 -21.955920755352874
0.5 0.96 0.9701546268507923 58.97702416567179 -22.725830864491336
0.5 0.97 0.9775863133248133 59.238618723905766 -23.618774935246908
0.5 0.98 0.9850380703302791 59.496260689460435 -24.706402767330296
0.5 0.99 0.99250944579888 59.75002878708134 -26.174753985170238
0.5 0.999 0.9992500938203609 59.97517157994392 -28.742907986465305
0.5 0.9999 0.9999250009375703 59.99751883388468 -29.597315188946045
0.5 0.9999999895816072 0.9999999921862054 59.99999974152175 -29.995864949148707
0.6 0.1 0.6053098380168622 7.594643368591445 -1.9144798435943664
0.6 0.2 0.620966987850401 14.93141717813755 -3.857241939554733
0.6 0.3 0.6462197768561404 21.801409486351808 -5.859530720316269
